ticker,name,fiscal_year_end_month,notes
AAPL,Apple Inc.,9,Fiscal year ends last Saturday of September. Q1 = Oct-Dec (holiday peak).
NVDA,Nvidia Corp,1,Fiscal year ends late January; Q1 = Feb-Apr
2330,台積電,12,
