ticker,segment_name,trends_topic_id,trends_keywords,exclude_terms,notes
2330,AI,,AI|LLM|AI Agent,,
AAPL,自訂組合,,iphone|iwatch|ipad|mac|macbook|macmini,,由一鍵分析建立
NVDA,Automotive,,Nvidia Drive|Drive Orin|Drive Thor,,
NVDA,Data Center,,Nvidia H100|Blackwell GPU|H200|GB200,nvidia driver|nvidia geforce experience,AI accelerator chips
NVDA,Gaming,,GeForce RTX|RTX 5090|RTX 4090,geforce experience,Consumer GPU
NVDA,Networking,,Mellanox|Nvidia Infiniband,,Formerly Mellanox; now Networking segment
NVDA,Pro Visualization,,Nvidia Omniverse|Quadro RTX,,
TSLA,自訂組合,,tesla|xspace|modelY|ModelX|Cybertruck|Cybercab,,由一鍵分析建立
